issue,number,trial
2002001,073,
2002002,237,
2002003,071,
2002004,204,
2002005,374,
2002006,128,
2002007,849,
2002008,852,
2002009,155,
2002010,795,
2002011,217,
2002012,482,
2002013,986,
2002014,232,
2002015,871,
2002016,171,
2002017,102,
2002018,178,
2002019,446,
2002020,737,
2002021,859,
2002022,947,
2002023,681,
2002024,197,
2002025,513,
2002026,780,
2002027,248,
2002028,810,
2002029,953,
2002030,525,
2002031,511,
2002032,133,
2002033,964,
2002034,734,
2002035,912,
2002036,334,
2002037,706,
2002038,516,
2002039,622,
2002040,305,
2002041,436,
2002042,116,
2002043,190,
2002044,082,
2002045,098,
2002046,646,
2002047,118,
2002048,409,
2002049,830,
2002050,352,
2002051,476,
2002052,565,
2002053,352,
2002054,457,
2002055,037,
2002056,733,
2002057,763,
2002058,800,
2002059,818,
2002060,692,
2002061,878,
2002062,341,
2002063,408,
2002064,779,
2002065,852,
2002066,121,
2002067,657,
2002068,482,
2002069,874,
2002070,933,
2002071,830,
2002072,222,
2002073,708,
2002074,319,
2002075,276,
2002076,867,
2002077,239,
2002078,273,
2002079,132,
2002080,443,
2002081,556,
2002082,460,
2002083,315,
2002084,083,
2002085,106,
2002086,299,
2002087,283,
2002088,775,
2002089,956,
2002090,553,
2002091,360,
2002092,435,
2002093,218,
2002094,283,
2002095,786,
2002096,427,
2002097,155,
2002098,159,
2002099,913,
2002100,635,
2002101,224,
2002102,012,
2002103,088,
2002104,818,
2002105,933,
2002106,287,
2002107,314,
2002108,584,
2002109,625,
2002110,344,
2002111,091,
2002112,990,
2002113,211,
2002114,493,
2002115,032,
2002116,888,
2002117,842,
2002118,448,
2002119,075,
2002120,770,
2002121,381,
2002122,494,
2002123,265,
2002124,042,
2002125,533,
2002126,005,
2002127,424,
2002128,813,
2002129,727,
2002130,328,
2002131,387,
2002132,773,
2002133,574,
2002134,841,
2002135,078,
2002136,206,
2002137,860,
2002138,493,
2002139,184,
2002140,651,
2002141,461,
2002142,247,
2002143,357,
2002144,323,
2002145,213,
2002146,208,
2002147,683,
2002148,793,
2002149,094,
2002150,490,
2002151,396,
2002152,992,
2002153,909,
2002154,835,
2002155,557,
2002156,189,
2002157,599,
2002158,754,
2002159,116,
2002160,322,
